condition,wer,num_signgloss,intended_meaning,asl_gloss,error_asl_gloss,error_intended_meaning,original_word,misclassified_word
1,0.000,4,"My mother's name is Janet, not Jane.",MOTHER NAME fs-JANET NOT fs-JANE,MOTHER NAME fs-JANET NOT fs-JANE,"My mother’s name is Janet, not Jane.",,
1,0.111,9,"My mother is Deaf, and sometimes my sister interprets for her",MY MOTHER DEAF SOMETIME MY SISTER INTERPRET FOR HER ,MY MOTHER LISTEN SOMETIME MY SISTER INTERPRET FOR HER ,"My mother listens, and sometimes my sister interprets for her.",DEAF,LISTEN
1,0.000,5,My mother likes red shoes.,MY MOTHER LIKE RED SHOE ,MY MOTHER LIKE RED SHOE ,My mother likes red shoes.,,
1,0.100,10,"Our dog bit my mother's new shoe, and she was angry.",OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,OUR BIRD BITE MY MOTHER HER NEW SHOE SHE ANGRY ,"Our bird bit my mother's new shoe, and she is angry.",DOG,BIRD
1,0.111,9,"If she has time, she will bake cookies for family",IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR FAMILY,IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR CLASS,"If she has time, she will bake cookies for the class.",FAMILY,CLASS
1,0.111,9,"My sister, Julia, is very skilled at mimicking other people.",MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,MY SISTER NAME fs-JULIA EXPERT THEIR FINISH COPY  ,"My sister's name is Julia. She is an expert, and they have finished copying.",ACTION,FINISH
1,0.000,5,"My sister is good at dancing, but I’m terrible at it.",MY SISTER SKILL DANCE I LOUSY,MY SISTER SKILL DANCE I LOUSY,"My sister is skilled at dancing, but I’m terrible.",,
1,0.125,8,My sister went away to college but she will come home for vacation.,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,MY SISTER HURRY COLLEGE LATER VACATION COME HOME ,"My sister is hurrying to college, but later, during vacation, she will come home.",GO-AWAY,HURRY
1,0.125,8,"My sister goes to cheer practice every Monday, Wednesday, and Friday.","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","MY SISTER GO CELEBRATE PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","My sister goes to celebrate and practice every Monday, Wednesday, and Friday.",CHEER,CELEBRATE
1,0.167,6,My sister only uses a Mac computer.,COMPUTER MY SISTER USE fs-MAC ONLY ,CALCULATE MY SISTER USE fs-MAC ONLY ,"When doing calculations, my sister only uses a Mac.",COMPUTER,CALCULATE
1,0.143,7,My sister wants a headband for her birthday.,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,MY SISTER WANT HEADBAND FOR HER FEEL ,My sister wants a headband to match how she feels.,BIRTHDAY,FEEL
1,0.100,10,My family adopted a group of puppies because we love animals,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE TIRED ,"My family adopted a group of puppies because we love them, even though they make us tired.",ANIMAL,TIRED
1,0.000,5,"The dog vomits, and my father cleans it up.",DOG VOMIT MY FATHER CLEAN ,DOG VOMIT MY FATHER CLEAN ,"The dog vomited, and my father cleaned it up.",,
1,0.125,8,"Whenever my mother and father argue, the dog always barks.",WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,WHEN MY MOTHER FATHER DISCUSS DOG ALWAYS BARK ,"Whenever my mother and father discuss something, the dog always barks.",ARGUE,DISCUSS
2,0.222,9,"My family is small. It consists of my mother, father, younger sister, and me",MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,MY FAMILY SMALL MOTHER FATHER YOUNG WIFE I BLOWN-AWAY ,"My family is small. It consists of my mother, father, and young wife. I am amazed.","SISTER, FINISH","WIFE, BLOWN-AWAY"
2,0.333,6,My family has a total of six grandchildren.,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,MY FAMILY HAVE TOTAL PERFECT CHILDREN ,My family has a total of perfect children.,"SIX, GRANDCHILDREN","PERFECT, CHILDREN"
2,0.182,11,My family recently moved to New York City because my father was transferred for work at IBM,FAMILY MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,CLASS MOVE RECENT WHERE NYC WHY MOTHER THERE WORK TRANSFER ns-IBM ,The class recently moved to New York City because my mother is there for work with a transfer to IBM,"FAMILY, FATHER","CLASS, MOTHER"
2,0.000,3,We are fine with the family moving.,FAMILY MOVE WE FINE,FAMILY MOVE WE FINE,"My family moved, and we are doing fine.",,
2,0.154,13,My family vacation every year is in Florida because everyone loves the sun,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,MY CLASS VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE CLEAR ,My class goes on vacation together every year to Florida because everyone loves the clear weather.,"FAMILY, SUNSHINE","CLASS, CLEAR"
2,0.250,8,"My family likes beer and wine, but I don’t.",MY FAMILY LIKE BEER AND WINE NOT ME ,MY FAMILY LIKE BROWN AND WINE CAN'T ME ,"My family likes brown and wine colors, but I can't","BEER, NOT","BROWN, CAN'T"
2,0.333,6,"My father, John, works at the library.",MY FATHER NAME fs-JOHN WORK LIBRARY ,MY FATHER NAME fs-JOHN STUDY LUNCH ,My father’s name is John. He studies during lunch.,"WORK, LIBRARY","STUDY, LUNCH"
2,0.286,7,My father enjoys traveling to different countries,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,MY MOTHER ENJOY HIKING TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,My mother enjoys hiking in different countries.,"FATHER, TRIP","MOTHER, HIKING"
2,0.286,7,My father and I both like pineapple and cream cheese,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,FATHER YELLOW I LIKE GLASSES CREAM CHEESE ,My father likes yellow. I like glasses and cream cheese.,"SAME, PINEAPPLE","YELLOW, GLASSES"
2,0.333,6,"A long time ago, my father was tall, but now he is short",MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,MY DEER LONG-AGO ADULT-TALL NOW CHILD,"My deer was tall when it was an adult long ago, but now it is small like a child.","FATHER, SHORT-HEIGHT","DEER, CHILD"
2,0.333,6,My sister and father was born in September ,BORN SEPT WHO MY SISTER FATHER ,LEAVE SEPT WHO MY BROTHER FATHER ,"In September, my brother and father left.","BORN, SISTER","LEAVE, BROTHER"
2,0.000,4,"My mother's name is Janet, not Jane.",MOTHER NAME fs-JANET NOT fs-JANE,MOTHER NAME fs-JANET NOT fs-JANE,"My mother's name is Janet, not Jane.",,
2,0.222,9,"My mother is Deaf, and sometimes my sister interprets for her",MY MOTHER DEAF SOMETIME MY SISTER INTERPRET FOR HER ,MY MOTHER LISTEN SOMETIME MY SISTER FAMILY FOR HER ,My mother sometimes listens to my sister's family for her.,"DEAF, INTERPRET","LISTEN, FAMILY"
2,0.000,5,My mother likes red shoes.,MY MOTHER LIKE RED SHOE ,MY MOTHER LIKE RED SHOE ,My mother likes red shoes.,,
2,0.200,10,"Our dog bit my mother's new shoe, and she was angry.",OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,OUR BIRD BITE MY MOTHER HER NEW SHOE SHE DISGUST ,"Our bird bit my mother's new shoe, and she was disgusted.","DOG, ANGRY","BIRD, DISGUST"
2,0.222,9,"If she has time, she will bake cookies for family",IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR FAMILY,IF SHE HAVE TIME SHE WILL BAKE CAKE FOR CLASS,"If she has time, she will bake a cake for the class.","COOKIE, FAMILY","CAKE, CLASS"
2,0.222,9,"My sister, Julia, is very skilled at mimicking other people.",MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,MY SISTER NAME fs-JULIA EXPERT THEIR FINISH LEARN  ,"My sister's name is Julia, and she is an expert. They have finished learning.","ACTION, COPY","FINISH, LEARN"
2,0.000,5,"My sister is good at dancing, but I’m terrible at it.",MY SISTER SKILL DANCE I LOUSY,MY SISTER SKILL DANCE I LOUSY,"My sister is skilled at dancing, but I am terrible.",,
2,0.250,8,My sister went away to college but she will come home for vacation.,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,MY SISTER HURRY GRADUATE LATER VACATION COME HOME ,"My sister is hurrying to graduate, and later, she will come home for vacation.","GO-AWAY, COLLEGE","HURRY, GRADUATE"
2,0.250,8,"My sister goes to cheer practice every Monday, Wednesday, and Friday.","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","MY SISTER GO CELEBRATE WORK EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","My sister goes to celebrate work every Monday, Wednesday, and Friday.","CHEER, PRACTICE","CELEBRATE, WORK"
2,0.333,6,My sister only uses a Mac computer.,COMPUTER MY SISTER USE fs-MAC ONLY ,CALCULATE MY SISTER PRACTICE fs-MAC ONLY ,My sister only practices using a Mac for calculations.,COMPUTER,"CALCULATE, PRACTIVE"
2,0.286,7,My sister wants a headband for her birthday.,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,MY SISTER WANT CROWN FOR HER FEEL ,My sister wants a crown to express her feelings.,"HEADBAND, BIRTHDAY","CROWN, FEEL"
2,0.200,10,My family adopted a group of puppies because we love animals,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,DOG fs-PUPPIES FAMILY GRAB GROUP-GO-TOGETHER WHY MY FAMILY LOVE TIRED ,The puppies all gathered together because my family loves them but gets tired.,"TAKE-UP, ANIMAL","GRAB, TIRED"
2,0.000,5,"The dog vomits, and my father cleans it up.",DOG VOMIT MY FATHER CLEAN ,DOG VOMIT MY FATHER CLEAN ,"The dog vomited, and my father cleaned it up.",,
2,0.250,8,"Whenever my mother and father argue, the dog always barks.",WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,WHEN MY MOTHER FATHER DISCUSS DOG ALWAYS TALK ,"Whenever my mother and father discuss, they always talk about the dog.","ARGUE, BARK","DISCUSS, TALK"
3,0.000,9,"My family is small. It consists of my mother, father, younger sister, and me",MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,"My family is small; it consists of my mother, father, and younger sister.",,
3,0.000,6,My family has a total of six grandchildren.,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,My family has a total of six grandchildren.,,
3,0.000,11,My family recently moved to New York City because my father was transferred for work at IBM,FAMILY MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,FAMILY MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,My family recently moved to NYC because my father was transferred for work at IBM.,,
3,0.000,3,We are fine with the family moving.,FAMILY MOVE WE FINE,FAMILY MOVE WE FINE,"After moving, my family is doing fine.",,
3,0.000,13,My family vacation every year is in Florida because everyone loves the sun,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,My family goes on vacation together every year to Florida because everyone loves the sunshine.,,
3,0.000,8,"My family likes beer and wine, but I don’t.",MY FAMILY LIKE BEER AND WINE NOT ME ,MY FAMILY LIKE BEER AND WINE NOT ME ,"My family likes beer and wine, but I don’t.",,
3,0.000,6,"My father, John, works at the library.",MY FATHER NAME fs-JOHN WORK LIBRARY ,MY FATHER NAME fs-JOHN WORK LIBRARY ,"My father’s name is John, and he works at a library.",,
3,0.000,7,My father enjoys traveling to different countries,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,My father enjoys traveling to different countries.,,
3,0.000,7,My father and I both like pineapple and cream cheese,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,My father and I both like pineapple and cream cheese.,,
3,0.000,6,"A long time ago, my father was tall, but now he is short",MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,"Long ago, my father was tall, but now he is short.",,
3,0.000,6,My sister and father was born in September ,BORN SEPT WHO MY SISTER FATHER ,BORN SEPT WHO MY SISTER FATHER ,My sister and father was born in September ,,
3,0.000,4,"My mother's name is Janet, not Jane.",MOTHER NAME fs-JANET NOT fs-JANE,MOTHER NAME fs-JANET NOT fs-JANE,"My mother's name is Janet, not Jane.",,
3,0.000,9,"My mother is Deaf, and sometimes my sister interprets for her",MY MOTHER DEAF SOMETIME MY SISTER INTERPRET FOR HER ,MY MOTHER DEAF SOMETIME MY SISTER INTERPRET FOR HER ,"My mother is Deaf, and sometimes my sister interprets for her.",,
3,0.000,5,My mother likes red shoes.,MY MOTHER LIKE RED SHOE ,MY MOTHER LIKE RED SHOE ,My mother likes red shoes.,,
3,0.000,10,"Our dog bit my mother's new shoe, and she was angry.",OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,"Our dog bit my mother's new shoe, and she was angry.",,
3,0.000,9,"If she has time, she will bake cookies for family",IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR FAMILY,IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR FAMILY,"If she has time, she will bake cookies for the family.",,
3,0.000,9,"My sister, Julia, is very skilled at mimicking other people.",MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,"My sister, Julia, is an expert at copying people’s actions.",,
3,0.000,5,"My sister is good at dancing, but I’m terrible at it.",MY SISTER SKILL DANCE I LOUSY,MY SISTER SKILL DANCE I LOUSY,"My sister is skilled at dancing, but I’m terrible.",,
3,0.000,8,My sister went away to college but she will come home for vacation.,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,My sister went away to college but she will come home for vacation.,,
3,0.000,8,"My sister goes to cheer practice every Monday, Wednesday, and Friday.","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","My sister goes to cheer practice every Monday, Wednesday, and Friday.",,
3,0.000,6,My sister only uses a Mac computer.,COMPUTER MY SISTER USE fs-MAC ONLY ,COMPUTER MY SISTER USE fs-MAC ONLY ,My sister only uses a Mac computer.,,
3,0.000,7,My sister wants a headband for her birthday.,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,My sister wants a headband for her birthday.,,
3,0.000,10,My family adopted a group of puppies because we love animals,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,My family adopted a group of puppies because we love animals,,
3,0.000,5,"The dog vomits, and my father cleans it up.",DOG VOMIT MY FATHER CLEAN ,DOG VOMIT MY FATHER CLEAN ,"When the dog vomited, my father cleaned it up.",,
3,0.000,8,"Whenever my mother and father argue, the dog always barks.",WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,"When my mother and father argue, the dog always barks.",,
4,0.000,9,"My family is small. It consists of my mother, father, younger sister, and me",MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,"My family is small; it consists of my mother, father, and younger sister.",,
4,0.000,6,My family has a total of six grandchildren.,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,My family has a total of six grandchildren.,,
4,0.091,11,My family recently moved to New York City because my father was transferred for work at IBM,FAMILY MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,CLASS MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,My class recently moved in New York City because my father is there for work transfer with IBM,FAMILY,CLASS
4,0.000,3,We are fine with the family moving.,FAMILY MOVE WE FINE,FAMILY MOVE WE FINE,"After moving, my family is doing fine.",,
4,0.077,13,My family vacation every year is in Florida because everyone loves the sun,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,My family goes on vacation together every year to Florida because everyone loves the sunshine.,,
4,0.000,8,"My family likes beer and wine, but I don’t.",MY FAMILY LIKE BEER AND WINE NOT ME ,MY FAMILY LIKE BEER AND WINE NOT ME ,"My family likes beer and wine, but I don’t.",,
4,0.000,6,"My father, John, works at the library.",MY FATHER NAME fs-JOHN WORK LIBRARY ,MY FATHER NAME fs-JOHN WORK LIBRARY ,"My father’s name is John, and he works at a library.",,
4,0.000,7,My father enjoys traveling to different countries,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,My father enjoys traveling to different countries.,,
4,0.000,7,My father and I both like pineapple and cream cheese,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,My father and I both like pineapple and cream cheese.,,
4,0.000,6,"A long time ago, my father was tall, but now he is short",MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,"Long ago, my father was tall, but now he is short.",,
4,0.000,6,My sister and father was born in September ,BORN SEPT WHO MY SISTER FATHER ,BORN SEPT WHO MY SISTER FATHER ,My sister and father was born in September ,,
4,0.000,4,"My mother's name is Janet, not Jane.",MOTHER NAME fs-JANET NOT fs-JANE,MOTHER NAME fs-JANET NOT fs-JANE,"My mother's name is Janet, not Jane.",,
4,0.000,9,"My mother is Deaf, and sometimes my sister interprets for her",MY MOTHER DEAF SOMETIME MY SISTER INTERPRET FOR HER ,MY MOTHER DEAF SOMETIME MY SISTER INTERPRET FOR HER ,"My mother is Deaf, and sometimes my sister interprets for her.",,
4,0.000,5,My mother likes red shoes.,MY MOTHER LIKE RED SHOE ,MY MOTHER LIKE RED SHOE ,My mother likes red shoes.,,
4,0.000,10,"Our dog bit my mother's new shoe, and she was angry.",OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,"Our dog bit my mother's new shoe, and she was angry.",,
4,0.000,9,"If she has time, she will bake cookies for family",IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR FAMILY,IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR FAMILY,"If she has time, she will bake cookies for the family.",,
4,0.000,9,"My sister, Julia, is very skilled at mimicking other people.",MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,"My sister, Julia, is an expert at copying people’s actions.",,
4,0.000,5,"My sister is good at dancing, but I’m terrible at it.",MY SISTER SKILL DANCE I LOUSY,MY SISTER SKILL DANCE I LOUSY,"My sister is skilled at dancing, but I’m terrible.",,
4,0.000,8,My sister went away to college but she will come home for vacation.,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,My sister went away to college but she will come home for vacation.,,
4,0.000,8,"My sister goes to cheer practice every Monday, Wednesday, and Friday.","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","My sister goes to cheer practice every Monday, Wednesday, and Friday.",,
4,0.167,6,My sister only uses a Mac computer.,COMPUTER MY SISTER USE fs-MAC ONLY ,CALCULATE MY SISTER USE fs-MAC ONLY ,"When doing calculations, my sister only uses a Mac.",COMPUTER,CALCULATE
4,0.000,7,My sister wants a headband for her birthday.,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,My sister wants a headband for her birthday.,,
4,0.000,10,My family adopted a group of puppies because we love animals,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,My family adopted a group of puppies because we love animals,,
4,0.000,5,"The dog vomits, and my father cleans it up.",DOG VOMIT MY FATHER CLEAN ,DOG VOMIT MY FATHER CLEAN ,"When the dog vomited, my father cleaned it up.",,
4,0.000,8,"Whenever my mother and father argue, the dog always barks.",WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,"When my mother and father argue, the dog always barks.",,
5,0.000,9,"My family is small. It consists of my mother, father, younger sister, and me",MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,"My family is small; it consists of my mother, father, and younger sister.",,
5,0.000,6,My family has a total of six grandchildren.,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,My family has a total of six grandchildren.,,
5,0.182,11,My family recently moved to New York City because my father was transferred for work at IBM,FAMILY MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,CLASS MOVE RECENT WHERE NYC WHY MOTHER THERE WORK TRANSFER ns-IBM ,The class recently moved to New York City because my mother is there for work with a transfer to IBM,"FAMILY, FATHER","CLASS, MOTHER"
5,0.000,3,We are fine with the family moving.,FAMILY MOVE WE FINE,FAMILY MOVE WE FINE,"After moving, my family is doing fine.",,
5,0.000,13,My family vacation every year is in Florida because everyone loves the sun,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,My family goes on vacation together every year to Florida because everyone loves the sunshine.,,
5,0.000,8,"My family likes beer and wine, but I don’t.",MY FAMILY LIKE BEER AND WINE NOT ME ,MY FAMILY LIKE BEER AND WINE NOT ME ,"My family likes beer and wine, but I don’t.",,
5,0.000,6,"My father, John, works at the library.",MY FATHER NAME fs-JOHN WORK LIBRARY ,MY FATHER NAME fs-JOHN WORK LIBRARY ,"My father’s name is John, and he works at a library.",,
5,0.000,7,My father enjoys traveling to different countries,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,My father enjoys traveling to different countries.,,
5,0.000,7,My father and I both like pineapple and cream cheese,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,My father and I both like pineapple and cream cheese.,,
5,0.000,6,"A long time ago, my father was tall, but now he is short",MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,"Long ago, my father was tall, but now he is short.",,
5,0.000,6,My sister and father was born in September ,BORN SEPT WHO MY SISTER FATHER ,BORN SEPT WHO MY SISTER FATHER ,My sister and father was born in September ,,
5,0.000,4,"My mother's name is Janet, not Jane.",MOTHER NAME fs-JANET NOT fs-JANE,MOTHER NAME fs-JANET NOT fs-JANE,"My mother's name is Janet, not Jane.",,
5,0.000,9,"My mother is Deaf, and sometimes my sister interprets for her",MY MOTHER DEAF SOMETIME MY SISTER INTERPRET FOR HER ,MY MOTHER DEAF SOMETIME MY SISTER INTERPRET FOR HER ,"My mother is Deaf, and sometimes my sister interprets for her.",,
5,0.000,5,My mother likes red shoes.,MY MOTHER LIKE RED SHOE ,MY MOTHER LIKE RED SHOE ,My mother likes red shoes.,,
